rating,author,date,popular mentions,review
5,Wayne,2025-05-15,"Billing, Price","The customer service at T-Mobile is exceptional. Jessica at the shopping center location was professional, knowledgeable, and friendly. Highly recommend!"
3,Joe,2025-05-14,"Coverage, Honesty & Transparency",T-Mobile was great initially but a phone upgrade has become a regular problem. text messaging is unreliable. Considering switching carriers.
4,Justin,2025-05-14,"Staff, Sales & Marketing","Switched from AT&T and mostly pleased. reception is better in some areas, not as good in others. Customer service has been helpful when needed."
4,Bobby,2025-05-12,"Coverage, Tech",Happy with T-Mobile service. Pricing is great but customer wait times needs work. Would still recommend for the price point.
4,Rose,2025-05-11,"Staff, Sales & Marketing","T-Mobile has been reliable for the most part. Good international roaming and helpful staff, though dropped calls. Still a solid choice overall."
4,Betty,2025-05-09,"Coverage, Honesty & Transparency",Happy with T-Mobile service. Coverage is great but billing needs work. Would still recommend for the price point.
4,Alice,2025-05-09,"Customer Service, Billing",Happy with T-Mobile service. Pricing is great but billing needs work. Would still recommend for the price point.
3,Emma,2025-05-09,"Price, Billing, Refunds & Payouts",Service is hit or miss. 5G access is good in some areas but terrible in others. customer service needs improvement. Average at best.
4,Alexis,2025-05-07,"Billing, Price","T-Mobile has been reliable for the most part. Good text messaging and helpful staff, though poor service. Still a solid choice overall."
2,Roger,2025-05-02,"Customer Service, Staff","Terrible experience. network availability is awful in my area, billing problems every month. Switching as soon as my contract is up."
3,Donald,2025-05-01,"Tech, Price",T-Mobile is okay but has room for improvement. technical issues happens frequently and poor service. Considering other options.
2,Patricia,2025-04-26,"Customer Service, Coverage, Price","Worst carrier I've had. coverage is spotty everywhere, unhelpful staff from customer service. Looking for alternatives immediately."
3,Michelle,2025-04-25,"Coverage, Tech",The Unlimited plan is okay for the price but my billing question is annoying. international roaming doesn't work as advertised. Somewhat disappointed.
4,Raymond,2025-04-20,"Staff, Sales & Marketing",The mall store provides good service. David was helpful with my my billing question. Wait times can be long but overall positive experience.
5,Rachel,2025-04-18,"Customer Service, Punctuality & Speed, Staff",Switched to T-Mobile 8 months ago and it was the best decision. data speeds works perfectly and I'm saving $25/month compared to my old carrier.
4,Susan,2025-04-18,"Customer Service, Punctuality & Speed, Staff",T-Mobile offers good value. Prepaid plan works well for my needs. Occasional data issues but nothing major. Fair pricing and decent service.
2,Laura,2025-04-18,"Coverage, Price","Terrible experience. connectivity is awful in my area, charges problems every month. Switching as soon as my contract is up."
2,Anna,2025-04-17,"Customer Service, Staff","Service has deteriorated significantly. reception is unreliable, account setup happens constantly. Customer service is unhelpful. Not worth it."
5,Carolyn,2025-04-16,"Customer Service, Billing","T-Mobile's Prepaid plan is perfect for my needs. Great coverage, fast 5G speeds, and the extras are awesome. Best value in wireless!"
3,Amy,2025-04-15,"Customer Service, Sales & Marketing, Price, Staff",Service is hit or miss. reception is good in some areas but terrible in others. network speed needs improvement. Average at best.
5,Kyle,2025-04-10,"Tech, Price","T-Mobile has exceeded my expectations. Great network availability in my area, affordable fees, and the customer service is top-notch. Very satisfied!"
5,Christine,2025-04-08,"Customer Service, Online & App","T-Mobile's Military plan is perfect for my needs. Great signal quality, fast LTE speeds, and the features are awesome. Best value in wireless!"
3,Timothy,2025-04-07,"Customer Service, Sales & Marketing, Price, Staff",T-Mobile is okay but has room for improvement. technical issues happens frequently and slow speeds. Considering other options.
3,Carolyn,2025-04-06,"Customer Service, Staff",T-Mobile is okay but has room for improvement. plan changes happens frequently and network outages. Considering other options.
5,Christopher,2025-04-03,"Tech, Price","The customer service at T-Mobile is exceptional. Sarah at the nearby location was professional, knowledgeable, and friendly. Highly recommend!"
4,Jeremy,2025-03-29,"Punctuality & Speed, Coverage",Overall good experience with T-Mobile. The connectivity is decent and prices are fair. data issues could be improved but generally satisfied.
2,Gregory,2025-03-29,"Billing, Price",Billing nightmares every single month. my billing question and they refuse to fix it. customer service also doesn't work. Very frustrated!
2,Sara,2025-03-28,"Customer Service, Staff",Do not recommend T-Mobile. overcharges and a phone upgrade are ongoing problems. No one seems to care about fixing anything.
4,Jacob,2025-03-26,"Coverage, Tech","Switched from Boost Mobile and mostly pleased. connectivity is better in some areas, not as good in others. Customer service has been helpful when needed."
2,Alice,2025-03-21,"Customer Service, Online & App","Worst carrier I've had. signal quality is spotty everywhere, overcharges from customer service. Looking for alternatives immediately."
2,Alexander,2025-03-20,"Coverage, Honesty & Transparency","T-Mobile has been nothing but problems. technical issues never gets resolved, call quality doesn't work properly. Save yourself the hassle."
1,Catherine,2025-03-18,"Staff, Maintenance","Cancelling my service after years of loyalty. payment errors every month, reception has gotten progressively worse. Deplorable service!"
4,Susan,2025-03-17,"Customer Service, Staff","Switched from Verizon and mostly pleased. network availability is better in some areas, not as good in others. Customer service has been helpful when needed."
5,Katherine,2025-03-17,"Staff, Maintenance",Outstanding service! The Main Street store has amazing staff. Tom helped me with account setup and went above and beyond. Best carrier I've had!
1,Heather,2025-03-15,"Coverage, Tech","Worst experience ever. tower access is non-existent, payment is a nightmare, unhelpful staff. How are they still in business?"
4,Beverly,2025-03-13,"Customer Service, Punctuality & Speed, Staff","T-Mobile has been reliable for the most part. Good mobile app and helpful staff, though dropped calls. Still a solid choice overall."
4,Philip,2025-03-12,"Coverage, Honesty & Transparency","Switched from Sprint and mostly pleased. signal quality is better in some areas, not as good in others. Customer service has been helpful when needed."
5,Marilyn,2025-03-09,"Price, Billing, Refunds & Payouts",I've been with T-Mobile for 5 years and couldn't be happier. The 5G coverage is excellent and the representatives are always helpful. Would definitely recommend!
4,Adam,2025-03-09,"Price, Billing, Refunds & Payouts",Overall good experience with T-Mobile. The connectivity is decent and prices are fair. my billing question could be improved but generally satisfied.
4,Stephen,2025-03-08,"Billing, Price",Overall good experience with T-Mobile. The connectivity is decent and prices are fair. a device trade-in could be improved but generally satisfied.
5,Isabella,2025-03-05,"Price, Billing, Refunds & Payouts","T-Mobile's Family plan is perfect for my needs. Great signal strength, fast 5G speeds, and the perks are awesome. Best value in wireless!"
2,Emily,2025-02-27,"Customer Service, Coverage, Price","Worst carrier I've had. network availability is spotty everywhere, hidden fees from customer service. Looking for alternatives immediately."
4,Jacqueline,2025-02-26,"Coverage, Price","T-Mobile is a solid carrier. network availability is good in most places, fees is competitive. Not perfect but gets the job done."
3,Judith,2025-02-24,"Tech, Price","Mediocre service. coverage is spotty, charges issues are common. Used to be better but quality has declined."
4,Julia,2025-02-24,"Price, Billing, Refunds & Payouts",Overall good experience with T-Mobile. The 5G access is decent and prices are fair. a phone upgrade could be improved but generally satisfied.
3,Roy,2025-02-22,"Staff, Sales & Marketing",Mixed feelings about T-Mobile. International features is decent but billing is frustrating. May switch if things don't improve.
4,Nancy,2025-02-21,"Billing, Price","T-Mobile has been reliable for the most part. Good 5G coverage and helpful staff, though poor coverage. Still a solid choice overall."
4,Carol,2025-02-20,"Punctuality & Speed, Coverage",Happy with T-Mobile service. International features is great but customer service needs work. Would still recommend for the price point.
5,Betty,2025-02-19,"Coverage, Tech",Switched to T-Mobile 14 months ago and it was the best decision. data speeds works perfectly and I'm saving $45/month compared to my old carrier.
3,Aaron,2025-02-18,"Customer Service, Staff",T-Mobile was great initially but porting my number has become a regular problem. call quality is unreliable. Considering switching carriers.
3,Jonathan,2025-02-18,"Customer Service, Online & App","Mediocre service. network availability is spotty, billing issues are common. Used to be better but quality has declined."
3,Walter,2025-02-17,"Customer Service, Coverage, Price",T-Mobile was great initially but data issues has become a regular problem. network speed is unreliable. Considering switching carriers.
1,Larry,2025-02-16,"Customer Service, Sales & Marketing, Price, Staff",Emergency calls only mode constantly. network availability map is a complete lie. network problems and they refuse to refund or help. Worst company ever!
3,William,2025-02-16,"Customer Service, Coverage, Price",T-Mobile has gone downhill since the Sprint merger. password reset keeps happening and customer service poor service. Not impressed anymore.
4,Noah,2025-02-12,"Billing, Price",The town center store provides good service. Tom was helpful with my password reset. Wait times can be long but overall positive experience.
5,Joe,2025-02-11,"Staff, Maintenance","The customer service at T-Mobile is exceptional. Jessica at the local location was professional, knowledgeable, and friendly. Highly recommend!"
4,Scott,2025-02-10,"Billing, Price",Happy with T-Mobile service. Pricing is great but the app needs work. Would still recommend for the price point.
4,Grace,2025-02-09,"Coverage, Price","T-Mobile has been reliable for the most part. Good mobile app and helpful staff, though overcharges. Still a solid choice overall."
4,Anthony,2025-02-09,"Punctuality & Speed, Coverage","Been with T-Mobile for 10 years. Service is generally good, text messaging works well most of the time. overcharges is my only real complaint."
5,Cheryl,2025-02-08,"Coverage, Tech",Been with T-Mobile for years and the service keeps getting better. mobile app is amazing and the prices can't be beat. Very happy customer!
1,Raymond,2025-02-07,"Customer Service, Billing","T-Mobile is a complete disaster. a device trade-in constantly, no one can help, and they keep charging me for services that don't work. Horrible!"
2,Albert,2025-02-07,"Customer Service, Billing","Service has deteriorated significantly. network availability is unreliable, technical issues happens constantly. Customer service is unhelpful. Not worth it."
3,Kenneth,2025-02-06,"Staff, Maintenance",T-Mobile is okay but has room for improvement. a phone upgrade happens frequently and dropped calls. Considering other options.
5,Brian,2025-02-03,"Customer Service, Sales & Marketing, Price, Staff","T-Mobile's Family plan is perfect for my needs. Great network availability, fast data speeds, and the extras are awesome. Best value in wireless!"
4,Ethan,2025-01-31,"Coverage, Honesty & Transparency",Overall good experience with T-Mobile. The signal quality is decent and prices are fair. my billing question could be improved but generally satisfied.
5,Frances,2025-01-30,"Staff, Maintenance",Switched to T-Mobile 3 months ago and it was the best decision. call quality works perfectly and I'm saving $30/month compared to my old carrier.
4,Vincent,2025-01-29,"Customer Service, Coverage, Price",Happy with T-Mobile service. Customer service is great but the app needs work. Would still recommend for the price point.
5,Natalie,2025-01-29,"Tech, Price",Switched to T-Mobile 4 months ago and it was the best decision. data speeds works perfectly and I'm saving $50/month compared to my old carrier.
5,Beverly,2025-01-28,"Coverage, Price",Outstanding service! The local store has amazing staff. Sarah helped me with account setup and went above and beyond. Best carrier I've had!
4,Michael,2025-01-25,"Customer Service, Coverage, Price","T-Mobile has been reliable for the most part. Good unlimited data and helpful staff, though billing errors. Still a solid choice overall."
3,Christina,2025-01-25,"Punctuality & Speed, Coverage","Customer service is inconsistent. Some reps are helpful, others network outages. network availability is average. Nothing special."
3,Marie,2025-01-24,"Staff, Sales & Marketing",T-Mobile was great initially but a phone upgrade has become a regular problem. 5G coverage is unreliable. Considering switching carriers.
5,Cynthia,2025-01-20,"Customer Service, Sales & Marketing, Price, Staff","The customer service at T-Mobile is exceptional. Alex at the Main Street location was professional, knowledgeable, and friendly. Highly recommend!"
2,Keith,2025-01-20,"Punctuality & Speed, Coverage","Service has deteriorated significantly. signal quality is unreliable, data issues happens constantly. Customer service is unhelpful. Not worth it."
5,Michael,2025-01-17,"Billing, Price","T-Mobile's Senior plan is perfect for my needs. Great reception, fast 5G speeds, and the features are awesome. Best value in wireless!"
4,Kelly,2025-01-16,"Price, Billing, Refunds & Payouts","T-Mobile has been reliable for the most part. Good unlimited data and helpful staff, though slow speeds. Still a solid choice overall."
5,Jesse,2025-01-11,"Customer Service, Staff","The customer service at T-Mobile is exceptional. Alex at the central location was professional, knowledgeable, and friendly. Highly recommend!"
4,Alice,2025-01-11,"Coverage, Honesty & Transparency",Happy with T-Mobile service. Coverage is great but customer wait times needs work. Would still recommend for the price point.
1,Benjamin,2025-01-08,"Customer Service, Coverage, Price","Absolutely terrible service. a device trade-in every single day, customer service is useless. Switching carriers immediately. Avoid at all costs!"
3,Diane,2025-01-07,"Customer Service, Online & App",T-Mobile was great initially but a device trade-in has become a regular problem. unlimited data is unreliable. Considering switching carriers.
4,Bruce,2024-12-31,"Staff, Sales & Marketing",Happy with T-Mobile service. Pricing is great but customer service needs work. Would still recommend for the price point.
4,Patrick,2024-12-30,"Coverage, Tech","T-Mobile has been reliable for the most part. Good international roaming and helpful staff, though poor coverage. Still a solid choice overall."
5,Nicole,2024-12-30,"Customer Service, Online & App",Been with T-Mobile for years and the service keeps getting better. hotspot feature is amazing and the prices can't be beat. Very happy customer!
3,Kenneth,2024-12-30,"Billing, Price","Customer service is inconsistent. Some reps are helpful, others poor coverage. reception is average. Nothing special."
2,Bryan,2024-12-29,"Tech, Price","Extremely frustrated with T-Mobile. billing errors monthly, 5G access is terrible, and data speeds rarely works. Switching soon."
5,Megan,2024-12-28,"Tech, Price","T-Mobile has exceeded my expectations. Great network availability in my area, affordable plan cost, and the customer service is top-notch. Very satisfied!"
1,Timothy,2024-12-25,"Customer Service, Sales & Marketing, Price, Staff",Emergency calls only mode constantly. reception map is a complete lie. password reset and they refuse to refund or help. Worst company ever!
4,Sandra,2024-12-21,"Staff, Maintenance","Switched from Boost Mobile and mostly pleased. connectivity is better in some areas, not as good in others. Customer service has been helpful when needed."
5,Marilyn,2024-12-18,"Customer Service, Coverage, Price",Switched to T-Mobile 16 months ago and it was the best decision. 5G coverage works perfectly and I'm saving $60/month compared to my old carrier.
4,Kyle,2024-12-18,"Billing, Price",The neighborhood store provides good service. Chris was helpful with my data issues. Wait times can be long but overall positive experience.
4,Janice,2024-12-17,"Customer Service, Sales & Marketing, Price, Staff",The neighborhood store provides good service. Mike was helpful with my porting my number. Wait times can be long but overall positive experience.
4,Ruth,2024-12-17,"Customer Service, Billing","Been with T-Mobile for 4 years. Service is generally good, unlimited data works well most of the time. billing errors is my only real complaint."
3,Danielle,2024-12-15,"Customer Service, Coverage, Price","Mediocre service. coverage is spotty, payment issues are common. Used to be better but quality has declined."
2,Walter,2024-12-11,"Customer Service, Sales & Marketing, Price, Staff",Billing nightmares every single month. password reset and they refuse to fix it. text messaging also doesn't work. Very frustrated!
4,Stephanie,2024-12-09,"Staff, Sales & Marketing",Happy with T-Mobile service. Plan flexibility is great but customer wait times needs work. Would still recommend for the price point.
2,Thomas,2024-12-09,"Customer Service, Staff",Do not recommend T-Mobile. slow speeds and plan changes are ongoing problems. No one seems to care about fixing anything.
4,Carolyn,2024-12-09,"Customer Service, Coverage, Price",T-Mobile offers good value. Family plan works well for my needs. Occasional data issues but nothing major. Fair pricing and decent service.
2,Marilyn,2024-12-08,"Customer Service, Punctuality & Speed, Staff","Extremely frustrated with T-Mobile. payment errors monthly, coverage is terrible, and hotspot feature rarely works. Switching soon."
3,Bryan,2024-12-08,"Tech, Price","Customer service is inconsistent. Some reps are helpful, others poor service. tower access is average. Nothing special."
5,Carolyn,2024-12-08,"Coverage, Honesty & Transparency",Been with T-Mobile for years and the service keeps getting better. mobile app is amazing and the prices can't be beat. Very happy customer!
4,Brian,2024-12-01,"Customer Service, Billing","Switched from Verizon and mostly pleased. signal strength is better in some areas, not as good in others. Customer service has been helpful when needed."
2,Willie,2024-12-01,"Tech, Price","T-Mobile has been nothing but problems. data issues never gets resolved, data speeds doesn't work properly. Save yourself the hassle."
5,Isabella,2024-11-29,"Staff, Maintenance",Just upgraded my phone at T-Mobile and the experience was seamless. Jennifer made everything easy and I love my new device. Great service!
2,Arthur,2024-11-28,"Coverage, Price","Worst carrier I've had. connectivity is spotty everywhere, poor service from customer service. Looking for alternatives immediately."
4,Kelly,2024-11-28,"Customer Service, Sales & Marketing, Price, Staff",The nearby store provides good service. David was helpful with my network problems. Wait times can be long but overall positive experience.
5,Charles,2024-11-28,"Punctuality & Speed, Coverage",I've been with T-Mobile for 1 years and couldn't be happier. The network speed is excellent and the team members are always helpful. Would definitely recommend!
4,Denise,2024-11-28,"Customer Service, Online & App",T-Mobile offers good value. Prepaid plan works well for my needs. Occasional technical issues but nothing major. Fair pricing and decent service.
5,Harold,2024-11-27,"Coverage, Tech","The customer service at T-Mobile is exceptional. Jessica at the nearby location was professional, knowledgeable, and friendly. Highly recommend!"
4,Rebecca,2024-11-26,"Customer Service, Coverage, Price","T-Mobile has been reliable for the most part. Good text messaging and helpful staff, though slow speeds. Still a solid choice overall."
5,Steven,2024-11-26,"Punctuality & Speed, Coverage",I've been with T-Mobile for 3 years and couldn't be happier. The unlimited data is excellent and the representatives are always helpful. Would definitely recommend!
5,Amanda,2024-11-25,"Customer Service, Punctuality & Speed, Staff",Just upgraded my phone at T-Mobile and the experience was seamless. the manager made everything easy and I love my new device. Great service!
3,Alice,2024-11-23,"Coverage, Tech",Mixed feelings about T-Mobile. Customer service is decent but customer service is frustrating. May switch if things don't improve.
3,Jack,2024-11-21,"Customer Service, Sales & Marketing, Price, Staff","Mediocre service. coverage is spotty, charges issues are common. Used to be better but quality has declined."
3,Lawrence,2024-11-21,"Customer Service, Punctuality & Speed, Staff","Mediocre service. 5G access is spotty, invoicing issues are common. Used to be better but quality has declined."
2,Christina,2024-11-19,"Punctuality & Speed, Coverage","Extremely frustrated with T-Mobile. payment errors monthly, coverage is terrible, and text messaging rarely works. Switching soon."
1,Isabella,2024-11-16,"Customer Service, Online & App","T-Mobile has completely failed me. a device trade-in makes my phone useless, customer service hidden fees. Feeling totally ripped off!"
5,Jerry,2024-11-14,"Customer Service, Punctuality & Speed, Staff",Switched to T-Mobile 13 months ago and it was the best decision. 5G coverage works perfectly and I'm saving $45/month compared to my old carrier.
3,Theresa,2024-11-11,"Tech, Price",Mixed feelings about T-Mobile. 5G service is decent but customer service is frustrating. May switch if things don't improve.
2,Katherine,2024-11-11,"Coverage, Price","Extremely frustrated with T-Mobile. payment errors monthly, reception is terrible, and unlimited data rarely works. Switching soon."
4,Jason,2024-11-10,"Customer Service, Coverage, Price",Happy with T-Mobile service. 5G service is great but customer wait times needs work. Would still recommend for the price point.
5,Melissa,2024-11-07,"Coverage, Tech","The customer service at T-Mobile is exceptional. Sarah at the local location was professional, knowledgeable, and friendly. Highly recommend!"
2,Mary,2024-11-05,"Customer Service, Price, Billing","I have had nothing but issues with T-Mobile billing. I had a set plan and changed it to add a line along with internet. Each month they have an excuse why it's changed. I mean from $161 to over $300. Each month it is a different excuse then they give me a set amount and next month it is that. Then next month the bill is outrageous again. We have the military plan because it is supposed to be less expensive than the senior plan. Seems like I can't win. I will absolutely be dropping T-Mobile as soon as the phones are paid off. I don't have time or the funds to deal with this each month. I am very disappointed. We had T-Mobile for a number of years and we're very happy with it but for some reason, we have had nothing but issues. Not at all satisfied!"
2,Richard,2024-11-05,"Punctuality & Speed, Coverage",Billing nightmares every single month. password reset and they refuse to fix it. text messaging also doesn't work. Very frustrated!
3,Elizabeth,2024-11-04,"Coverage, Tech",T-Mobile has gone downhill since the plan restructuring. plan changes keeps happening and customer service poor coverage. Not impressed anymore.
3,Eugene,2024-11-03,"Customer Service, Sales & Marketing, Price, Staff",T-Mobile was great initially but plan changes has become a regular problem. customer service is unreliable. Considering switching carriers.
4,Christian,2024-11-03,"Tech, Price","T-Mobile is a solid carrier. connectivity is good in most places, monthly rate is competitive. Not perfect but gets the job done."
5,Dorothy,2024-11-01,"Coverage, Tech",I've been with T-Mobile for 8 years and couldn't be happier. The text messaging is excellent and the team members are always helpful. Would definitely recommend!
5,Virginia,2024-10-31,"Price, Billing, Refunds & Payouts","The customer service at T-Mobile is exceptional. Amanda at the central location was professional, knowledgeable, and friendly. Highly recommend!"
4,Lauren,2024-10-29,"Coverage, Tech",The mall store provides good service. David was helpful with my my billing question. Wait times can be long but overall positive experience.
3,Grace,2024-10-24,"Customer Service, Sales & Marketing, Price, Staff",T-Mobile has gone downhill since the plan restructuring. a device trade-in keeps happening and customer service unhelpful staff. Not impressed anymore.
3,Ethan,2024-10-23,"Billing, Price","Customer service is inconsistent. Some reps are helpful, others billing errors. signal strength is average. Nothing special."
2,Charles,2024-10-20,"Staff, Sales & Marketing","Service has deteriorated significantly. network availability is unreliable, plan changes happens constantly. Customer service is unhelpful. Not worth it."
2,Henry,2024-10-19,"Punctuality & Speed, Coverage",Do not recommend T-Mobile. network outages and plan changes are ongoing problems. No one seems to care about fixing anything.
4,Michael,2024-10-19,"Staff, Sales & Marketing","Switched from Cricket and mostly pleased. 5G access is better in some areas, not as good in others. Customer service has been helpful when needed."
3,Larry,2024-10-19,"Coverage, Price",T-Mobile has gone downhill since new management. a phone upgrade keeps happening and customer service billing errors. Not impressed anymore.
4,John,2024-10-18,"Price, Billing, Refunds & Payouts",The downtown store provides good service. Sarah was helpful with my porting my number. Wait times can be long but overall positive experience.
5,Johnny,2024-10-16,"Customer Service, Online & App",Outstanding service! The nearby store has amazing staff. Mike helped me with a phone upgrade and went above and beyond. Best carrier I've had!
2,Michael,2024-10-15,"Staff, Maintenance",Billing nightmares every single month. a device trade-in and they refuse to fix it. unlimited data also doesn't work. Very frustrated!
1,William,2024-10-14,"Tech, Price","Absolutely terrible service. data issues every single day, customer service is useless. Switching carriers immediately. Avoid at all costs!"
4,Daniel,2024-10-14,"Coverage, Price","Switched from Cricket and mostly pleased. tower access is better in some areas, not as good in others. Customer service has been helpful when needed."
5,Eric,2024-10-13,"Price, Billing, Refunds & Payouts",Switched to T-Mobile 9 months ago and it was the best decision. call quality works perfectly and I'm saving $60/month compared to my old carrier.
5,Walter,2024-10-13,"Customer Service, Punctuality & Speed, Staff",Switched to T-Mobile 7 months ago and it was the best decision. unlimited data works perfectly and I'm saving $45/month compared to my old carrier.
4,Marilyn,2024-10-13,"Coverage, Tech",The shopping center store provides good service. Sarah was helpful with my a device trade-in. Wait times can be long but overall positive experience.
2,Nicole,2024-10-13,"Coverage, Honesty & Transparency","Service has deteriorated significantly. 5G access is unreliable, a phone upgrade happens constantly. Customer service is unhelpful. Not worth it."
4,Jacob,2024-10-10,"Price, Billing, Refunds & Payouts","T-Mobile has been reliable for the most part. Good 5G coverage and helpful staff, though network outages. Still a solid choice overall."
1,Kenneth,2024-10-07,"Customer Service, Staff",One star is too generous. password reset has never been resolved after months of calling. data speeds is broken and they don't care. Absolutely furious!
4,Ruth,2024-10-03,"Tech, Price",The shopping center store provides good service. Jessica was helpful with my a device trade-in. Wait times can be long but overall positive experience.
4,Chris,2024-09-29,"Customer Service, Price, Punctuality & Speed, Staff","I had four lines with T-Mobile for about four years - three lines in Orange County, CA and one line for my mom in Veneta, OR, about seven miles west of Eugene. We always had significant connectivity issues when calling to and from Veneta, and the video-call function almost never worked; it was spotty if she stayed in the house, but as soon as she'd go outside, the video would drop. Our connectivity within CA was always great. The four lines cost about $136/month. When Mom passed away this past June, our remaining three lines were about $105/month. I had asked for a better deal about eight months ago but was told none were available. I recently read in Consumer Reports that changing to a reputable non-Big 3"" carrier like ** could save us up to $40/month"
5,Emily,2024-09-29,"Price, Billing, Refunds & Payouts","T-Mobile has exceeded my expectations. Great connectivity in my area, affordable discount, and the customer service is top-notch. Very satisfied!"
1,Raymond,2024-09-29,"Punctuality & Speed, Coverage","T-Mobile has completely failed me. data issues makes my phone useless, customer service poor coverage. Feeling totally ripped off!"
3,Jack,2024-09-28,"Customer Service, Billing",T-Mobile was great initially but porting my number has become a regular problem. data speeds is unreliable. Considering switching carriers.
5,Judith,2024-09-28,"Price, Billing, Refunds & Payouts",Just upgraded my phone at T-Mobile and the experience was seamless. Jessica made everything easy and I love my new device. Great service!
3,Louis,2024-09-24,"Tech, Price",T-Mobile was great initially but plan changes has become a regular problem. customer service is unreliable. Considering switching carriers.
5,Grace,2024-09-22,"Coverage, Honesty & Transparency",Outstanding service! The downtown store has amazing staff. the manager helped me with data issues and went above and beyond. Best carrier I've had!
4,Timothy,2024-09-22,"Customer Service, Staff","T-Mobile is a solid carrier. 5G access is good in most places, cost savings is competitive. Not perfect but gets the job done."
3,Frances,2024-09-19,"Customer Service, Staff",T-Mobile has gone downhill since the Sprint merger. account setup keeps happening and customer service slow speeds. Not impressed anymore.
4,Judith,2024-09-18,"Coverage, Honesty & Transparency",The nearby store provides good service. David was helpful with my technical issues. Wait times can be long but overall positive experience.
4,Christopher,2024-09-16,"Billing, Price",T-Mobile offers good value. Family plan works well for my needs. Occasional a device trade-in but nothing major. Fair pricing and decent service.
1,Johnny,2024-09-13,"Price, Billing, Refunds & Payouts","Cancelling my service after years of loyalty. charges errors every month, connectivity has gotten progressively worse. Deplorable service!"
5,Theresa,2024-09-13,"Staff, Sales & Marketing",Switched to T-Mobile 10 months ago and it was the best decision. mobile app works perfectly and I'm saving $30/month compared to my old carrier.
3,Diane,2024-09-05,"Customer Service, Online & App",T-Mobile is okay but has room for improvement. a device trade-in happens frequently and network outages. Considering other options.
2,Ryan,2024-09-03,"Coverage, Price","Worst carrier I've had. connectivity is spotty everywhere, poor service from customer service. Looking for alternatives immediately."
4,Steven,2024-09-02,"Customer Service, Sales & Marketing, Price, Staff","Been with T-Mobile for 6 years. Service is generally good, text messaging works well most of the time. slow speeds is my only real complaint."
3,Terry,2024-09-02,"Coverage, Honesty & Transparency",Mixed feelings about T-Mobile. 5G service is decent but coverage in rural areas is frustrating. May switch if things don't improve.
2,Philip,2024-09-02,"Coverage, Tech",Very disappointed with T-Mobile. technical issues constantly and customer service hidden fees. Would not recommend to others.
3,Jose,2024-08-30,"Customer Service, Billing",T-Mobile has gone downhill since recent policy changes. network problems keeps happening and customer service overcharges. Not impressed anymore.
3,Sophia,2024-08-30,"Customer Service, Coverage, Price",Service is hit or miss. signal strength is good in some areas but terrible in others. mobile app needs improvement. Average at best.
3,Pamela,2024-08-29,"Billing, Price","Mediocre service. tower access is spotty, billing issues are common. Used to be better but quality has declined."
5,Patrick,2024-08-28,"Customer Service, Billing","T-Mobile's Business plan is perfect for my needs. Great network availability, fast 5G speeds, and the perks are awesome. Best value in wireless!"
4,Lauren,2024-08-27,"Coverage, Price",T-Mobile offers good value. Unlimited plan works well for my needs. Occasional account setup but nothing major. Fair pricing and decent service.
4,Donna,2024-08-25,"Customer Service, Punctuality & Speed, Staff",Overall good experience with T-Mobile. The 5G access is decent and prices are fair. my billing question could be improved but generally satisfied.
3,Alan,2024-08-22,"Tech, Price",T-Mobile was great initially but a device trade-in has become a regular problem. 5G coverage is unreliable. Considering switching carriers.
4,Denise,2024-08-22,"Tech, Price","T-Mobile has been reliable for the most part. Good mobile app and helpful staff, though unhelpful staff. Still a solid choice overall."
4,Stephanie,2024-08-21,"Price, Billing, Refunds & Payouts","T-Mobile is a solid carrier. 5G access is good in most places, discount is competitive. Not perfect but gets the job done."
4,Gerald,2024-08-20,"Billing, Price","Switched from Metro PCS and mostly pleased. network availability is better in some areas, not as good in others. Customer service has been helpful when needed."
5,Donald,2024-08-19,"Customer Service, Billing","T-Mobile's Military plan is perfect for my needs. Great network availability, fast 5G speeds, and the benefits are awesome. Best value in wireless!"
5,Sharon,2024-08-18,"Customer Service, Sales & Marketing, Price, Staff",I've been with T-Mobile for 7 years and couldn't be happier. The call quality is excellent and the staff members are always helpful. Would definitely recommend!
1,Carl,2024-08-14,"Punctuality & Speed, Coverage",One star is too generous. account setup has never been resolved after months of calling. customer service is broken and they don't care. Absolutely furious!
2,Alan,2024-08-13,"Customer Service, Punctuality & Speed, Staff",Very disappointed with T-Mobile. a phone upgrade constantly and customer service poor coverage. Would not recommend to others.
3,Nancy,2024-08-12,"Customer Service, Staff","T-Mobile was excellent when I first signed up. But it has gradually become Mediocre. In service. Dropped calls, telling me my phone's not registered to Network, towers being down and not letting its customers know. The Service has gone waaaaay down Hill.."
5,Lisa,2024-08-10,"Customer Service, Online & App",Just upgraded my phone at T-Mobile and the experience was seamless. Jennifer made everything easy and I love my new device. Great service!
5,Teresa,2024-08-09,"Coverage, Honesty & Transparency",Switched to T-Mobile 7 months ago and it was the best decision. customer service works perfectly and I'm saving $60/month compared to my old carrier.
4,Jean,2024-08-07,"Customer Service, Billing","T-Mobile has been reliable for the most part. Good unlimited data and helpful staff, though slow speeds. Still a solid choice overall."
5,Alexis,2024-08-07,"Customer Service, Coverage, Price",Switched to T-Mobile 10 months ago and it was the best decision. call quality works perfectly and I'm saving $50/month compared to my old carrier.
1,Jordan,2024-07-28,"Customer Service, Online & App","Cancelling my service after years of loyalty. invoicing errors every month, reception has gotten progressively worse. Deplorable service!"
